"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
stage_note,cancer_details,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Please note that <em>in situ</em> malignancies are not considered eligible for CCC19 case inclusion, </span><span style=""background-color: #fbeeb8;"">with the exception of bladder cancer</span><span style=""font-weight: normal;"">. Please double-check the staging information for this patient. For example, Rai Stage 0 CLL should not be reported as stage 0 (in situ) but should be reported as disseminated.</span></p></div>",,,,,,,"[stage] = '1004-0'",,,,,,
stage_oth_specify,cancer_details,,notes,"<div class=""rich-text-field-label""><p>Please specify other stage at cancer diagnosis</p> <p><span style=""font-weight: normal;""><span style=""color: #e03e2d;"">Do not record </span></span><span style=""color: #e03e2d;"">any PHI<span style=""font-weight: normal;""> in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[stage] = 'OTH'",,,,,,
mets_yn,cancer_details,,radio,"Did the patient have metastatic cancer at the time of COVID-19 diagnosis?","0, No | 1, Yes | 88, Not applicable (e.g., patient has a liquid hematologic malignancy) | 99, Unknown",,,,,,"[cancer_status] != '1'",,,,,,
mets_sites,cancer_details,,checkbox,"<div class=""rich-text-field-label""><p>What were the sites of metastatic disease? <span style=""font-weight: normal; color: #236fa1;"">Please check all that apply.</span></p></div>","1112-1, Bone | 1113-1, Brain | 1114-1, Distant lymph nodes | 1115-1, Liver | 1116-1, Lung | 1117-1, Other sites | 1117-2, Generalized metastases such as carcinomatosis, malignant pleural effusion, malignant ascites | 9, DEPRECATED (was Unknown) | 99, Unknown",,,,,,"[mets_yn] = '1'",,,,,,"Terminology: NAACCR
@HIDECHOICE = '9'"
mets_oth_specify,cancer_details,,notes,"<div class=""rich-text-field-label""><p>Please specify additional sites of metastatic cancer</p> <p><span style=""font-weight: normal;""><span style=""color: #e03e2d;"">Do not record </span></span><span style=""color: #e03e2d;"">any PHI<span style=""font-weight: normal;""> in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[mets_sites(1117-1)] = '1'",,,,,,
cancer_timing,cancer_details,,radio,"<div class=""rich-text-field-label""><p>When was the patient's cancer diagnosed? <span style=""font-weight: normal; color: #236fa1;"">If the patient has multiple primaries, please report on the cancer that was most recently treated.</span></p></div>","0, At the same time as COVID-19 | 88, AFTER the COVID-19 diagnosis | 1, Within the past year | 2, Within the past 5 years | 3, More than 5 years ago | 99, Unknown",,,,,,,,,,,,
cancer_timing_note_1,cancer_details,,descriptive,"Please note that patients diagnosed concurrently with COVID-19 and cancer will be excluded from most analyses, given major intrinsic differences between such patients and those with an established diagnosis of cancer. However, we will likely undertake a dedicated analysis of this population and encourage you to fill the remainder of the survey.",,,,,,,"[cancer_timing] = '0'",,,,,,
cancer_timing_note_2,cancer_details,,descriptive,"Please note that patients diagnosed with cancer after COVID-19 will not be included in any future planned analyses. There is too much uncertainty about whether the cancer was present at the time that COVID-19 was diagnosed. We appreciate your understanding.",,,,,,,"[cancer_timing] = '88'",,,,,,
clinical_trial,cancer_details,,radio,"Is the patient on a clinical trial?","0, No | 1, Yes | 99, Unknown",,,,,,,,,,,,
clinical_trial_more,cancer_details,,notes,"<div class=""rich-text-field-label""><p>Please provide additional details if you can. <span style=""font-weight: normal; color: #236fa1;"">Note: some institutions have restrictions on sharing of this information, please check with your institutional official if you have any questions.</span></p> <p><span style=""color: #e03e2d;""><span style=""font-weight: normal;"">Do not record </span>any PHI<span style=""font-weight: normal;""> in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[clinical_trial] = '1'",,,,,,
additional_ca_dx,cancer_details,,notes,"<div class=""rich-text-field-label""><p>Additional details about cancer diagnosis <span style=""font-weight: normal; color: #236fa1;"">(stage, prior therapies, etc.)</span></p> <p><span style=""color: #e03e2d;""><span style=""font-weight: normal;"">Do not record </span>any PHI<span style=""font-weight: normal;""> in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,,,,,,,
prior_tx,cancer_details,,checkbox,"<div class=""rich-text-field-label""><p>Has the patient ever received treatments known to be associated with cardiac or pulmonary toxicity? <span style=""font-weight: normal; color: #236fa1;"">Check all that apply.</span></p></div>","73, Bleomycin | 90, Carmustine | 122, Cyclophosphamide | 202, Everolimus | 243, Gemcitabine | 44985, Anthracyclines | 45000, Antibody-drug conjugates | 45613, Anti-CD38 antibodies (e.g. daratumumab) | 58101, Checkpoint inhibitors | 694, Immunotherapy | 44947, Monoclonal antibodies | 45388, Platinum agents | 45352, Taxanes | 44955, Tyrosine kinase inhibitors (TKIs) | 695, Radiation involving a lung field | OTH, Other | UNK, Unknown | NONE, None",,,,,,,,,,,,"Terminology: HemOnc"
drugs_expanded,cancer_details,,text,"<div class=""rich-text-field-label""><p>Please list specific drugs</p> <p><span style=""color: #e03e2d;""><span style=""font-weight: normal;"">Do not record</span> any PHI<span style=""font-weight: normal;""> in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[prior_tx(45613)] = '1' or [prior_tx(44985)] = '1' or [prior_tx(45388)] = '1' or [prior_tx(45352)] = '1' or [prior_tx(44955)] = '1'",,,,,,
irae_gr3,cancer_details,,checkbox,"<div class=""rich-text-field-label""><p>Has the patient experienced a current or past (ever) iRAE CTCAE grade 3 or above? <span style=""font-weight: normal; color: #236fa1;"">Check all that apply.</span></p></div>","418290006, Pruritis | 271807003, Rash | 57676002, Arthralgia | 3723001, Arthritis | 205237003, Pneumonitis | 40930008, Hypothyroidism | 267060006, Diarrhea | 64226004, Colitis | 64613007, Enteritis | 128241005, Hepatitis | OTH, Other | NONE, None | UNK, Unknown",,,,,,"[prior_tx(58101)] = '1' or [prior_tx(694)] = '1' or [treatment_modality(694)] = '1'",,,,,,
irae_oth_specify,cancer_details,,notes,"<div class=""rich-text-field-label""><p>Please specify what other iRAE CTCAE grade 3 or above.</p> <p><span style=""font-weight: normal;""><span style=""color: #e03e2d;"">Do not record </span></span><span style=""color: #e03e2d;"">any PHI<span style=""font-weight: normal;""> in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[irae_gr3(OTH)] = '1'",,,,,,
irae_past,cancer_details,,radio,"Was there ever evidence of an immune-related adverse event (irAE) affecting the lungs or heart? (pneumonitis, myocarditis)","1, No | 2, Possible | 3, Likely | 4, Definite | 99, Unknown",,,,,,"[prior_tx(58101)] = '1' or [prior_tx(694)] = '1'",,,,,,
irae_past_more,cancer_details,,notes,"<div class=""rich-text-field-label""><p>Please specify</p> <p><span style=""font-weight: normal;""><span style=""color: #e03e2d;"">Do not record </span></span><span style=""color: #e03e2d;"">any PHI<span style=""font-weight: normal;""> in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[irae_past] = '2' or [irae_past] = '3' or [irae_past] = '4'",,,,,,
prior_tx_other,cancer_details,,text,"Please specify other past treatments with potential cardiac or pulmonary toxicity.",,,,,,,"[prior_tx(OTH)] = '1'",,,,,,
prior_tx_text,cancer_details,,notes,"<div class=""rich-text-field-label""><p>If the patient had potentially lung-toxic therapy in the past, please provide further details. <span style=""font-weight: normal; color: #236fa1;"">For example, how long ago the treatment was, whether there was overt lung toxicity at the time of treatment, etc.</span></p> <p><span style=""color: #e03e2d;""><span style=""font-weight: normal;"">Do not record </span>any PHI <span style=""font-weight: normal;"">in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,,,,,,,
comments_form_3,cancer_details,"Free text entry (optional)",notes,"<div class=""rich-text-field-label""><p>Comments</p> <p><span style=""color: #e03e2d;""><span style=""font-weight: normal;"">Do not record </span>any PHI <span style=""font-weight: normal;"">in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,,,,,,,
ts_4,respondent_details,,text,"Timestamp for the respondent details form",,,datetime_dmy,,,,,y,,,,," @HIDDEN @NOW_UTC"
role,respondent_details,"A bit about you",yesno,"Are you the primary managing hematologist/oncologist? ",,,,,,,,y,,,,,
practice_setting,respondent_details,,checkbox,"<div class=""rich-text-field-label""><p>What is your practice setting? <span style=""font-weight: normal; color: #236fa1;"">Check all that apply.</span></p></div>","1, Community Practice | 2, Community Hospital | 3, University Hospital | 4, NCI designated Comprehensive Cancer Center | 5, Other Cancer Centers | 6, Other Tertiary Center",,,,,,"[role] = '1'",,,,,,
role_2,respondent_details,,radio,"What is your role in relationship to the patient?","1, Advanced practice practitioner who regularly sees patient | 2, Nurse who regularly sees patient | 3, Hematology/oncology fellow who regularly sees patient | 4, Triage personnel | 5, Hospitalist | 6, Intensivist | 99, Designee of a CCC19 participating institution | 7, Other",,,,,,"[role] = '0'",y,,,,,
other_role,respondent_details,,text,"Please specify",,,,,,,"[role] = '7'",y,,,,,
email_1,respondent_details,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal; color: #236fa1;"">Thank you very much for filling out this short survey. Due to IRB restrictions, we are not able to collect further personal details from you at this time. You may learn more about CCC19 by <a href=""https://ccc19us.org/"" target=""_blank"" rel=""noopener"">visiting the CCC19 website</a> (clicking this link will open a new window).</span></p></div>",,,,,,,,,,,,,
comments_form_4,respondent_details,,notes,"Please leave any general comments here, including what if anything we can do to make the survey better.",,,,,,,,,,,,,
ts_5,followup,,text,"Timestamp for the follow-up form",,,,,,,,y,,,,," @HIDDEN @NOW_UTC"
fu_weeks,followup,,radio,"How far out from initial COVID-19 diagnosis are you making this report?","30, Approximately 30 days (1 month) after COVID-19 diagnosis | 90, Approximately 90 days (3 months) after COVID-19 diagnosis | 180, Approximately 180 days (6 months) after COVID-19 diagnosis | 365, Approximately 365 days (1 year) after COVID-19 diagnosis | OTH, All other time intervals",,,,,,,y,,,,,
d30_vital_status,followup,,radio,"Was the patient ALIVE at 30 days from COVID-19 diagnosis?","0, Yes the patient was alive for at least 30 days from COVID-19 diagnosis | 1, Patient was deceased within 30 days of COVID-19 diagnosis | 99, Unknown",,,,,,"[fu_weeks] = '30'",y,,,,,
d90_vital_status,followup,,radio,"Was the patient ALIVE at 90 days from COVID-19 diagnosis?","0, Yes the patient was alive for at least 90 days from COVID-19 diagnosis | 1, Patient was deceased within 90 days of COVID-19 diagnosis | 99, Unknown",,,,,,"[fu_weeks] = '90'",y,,,,,
d180_vital_status,followup,,radio,"Was the patient ALIVE at 180 days from COVID-19 diagnosis?","0, Yes the patient was alive for at least 180 days from COVID-19 diagnosis | 1, Patient was deceased within 180 days of COVID-19 diagnosis | 99, Unknown",,,,,,"[fu_weeks] = '180'",y,,,,,
d365_vital_status,followup,,radio,"Was the patient ALIVE at ONE YEAR from COVID-19 diagnosis?","0, Yes the patient was alive for at least one year from COVID-19 diagnosis | 1, Patient was deceased within one year of COVID-19 diagnosis | 99, Unknown",,,,,,"[fu_weeks] = '365'",y,,,,,
timing_of_report_weeks,followup,,text,"Please specify, in weeks, how much time has elapsed since initial COVID-19 diagnosis.",,,number,0,120,,"[fu_weeks] = 'OTH'",y,,,,,
fu_reason,followup,,radio,"What is prompting this follow-up report?","1, Hospitalization | 2, Major change in clinical status other than hospitalization | 3, Death | OTH, Other",,,,,,"[fu_weeks] = 'OTH'",y,,,,,
fu_reason_oth,followup,,notes,"<div class=""rich-text-field-label""><p>Please specify</p> <p><span style=""font-weight: normal;""><span style=""color: #e03e2d;"">Do not record </span></span><span style=""color: #e03e2d;"">any PHI<span style=""font-weight: normal;""> in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[fu_reason] = 'OTH'",,,,,,
covid_19_status_fu,followup,"COVID-19 follow-up details -- required",radio,"<div class=""rich-text-field-label""><p>Current COVID-19 status</p> <p><span style=""color: #236fa1; font-weight: normal;"">Fully recovered means that the patient has returned to their baseline functional status and repeat SARS-CoV-2 testing, if obtained, is negative. If they are on medications to treat sequelae or have functional compromise (e.g., impaired pulmonary function) but are not considered to have active infection, they should be considered to have recovered with complications.</span></p></div>","1, Fully recovered | 1b, Recovered with complications | 2, Ongoing infection | 3, Died | 99, Unknown",,,,,,,y,,,,,
days_to_death_fu_2,followup,,text,"<div class=""rich-text-field-label""><p>Approximately how many days elapsed between COVID-19 diagnosis and death?</p> <p><span style=""font-weight: normal; color: #236fa1;"">If this information is unknown to you, please enter 9999 here.</span></p></div>",,,integer,0,,,"[covid_19_status_fu] = '3'",y,,,,,
cause_of_death_fu,followup,,radio,"To the best of your knowledge, what was the proximal cause of death?","1, COVID-19 | 2, Cancer | 3, Both | 88, Other | 99, Unknown",,,,,,"[covid_19_status_fu] = '3'",y,,,,,
deceased_reason_fu_2,followup,,notes,"<div class=""rich-text-field-label""><p>Please provide additional details about the proximal cause of death.</p> <p><span style=""font-weight: normal;""><span style=""color: #e03e2d;"">Do not record </span></span><span style=""color: #e03e2d;"">any PHI <span style=""font-weight: normal;"">in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[covid_19_status_fu] = '3'",y,,,,,
who_ordinal_scale,followup,,radio,"<div class=""rich-text-field-label""><p>WHO Ordinal Scale for Clinical Improvement</p> <p><span style=""font-weight: normal; color: #236fa1;"">Please note that this scale is somewhat redundant to other questions here, but will help us to validate the scale as a reliable tool for determining disease severity at fixed time-based endpoints.</span></p></div>","1, Ambulatory (Not hospitalized) with no limitation of activities | 2, Ambulatory (Not hospitalized) with limitation of activities | 3, Hospitalized, no oxygen therapy | 4, Hospitalized, requiring oxygen by mask or nasal prongs | 5, Hospitalized, requiring non-invasive ventilation or high-flow oxygen | 6, Hospitalized, requiring intubation and mechanical ventilation | 7, Hospitalized, requiring ventilation + additional organ support - pressors, RRT, and/or ECMO | OTH, Other - patient does not fit into any of these categories | UNK, Unknown",,,,,,"([fu_weeks] = '30' or [fu_weeks] = '90') and [covid_19_status_fu] != '3'",y,,,,,
who_ordinal_oth,followup,,notes,"<div class=""rich-text-field-label""><p>Please briefly explain why the patient does not fit into any of the categories.</p> <p><span style=""color: #e03e2d;""><span style=""font-weight: normal;"">Do not record </span>any PHI<span style=""font-weight: normal;""> in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[who_ordinal_scale] = 'OTH'",,,,,,
current_status_clinical_fu,followup,,radio,"<div class=""rich-text-field-label""><p><span style=""color: #000000;"">Current clinical status</span></p></div>","0, Outpatient - No symptoms | 1, Outpatient - Mild symptoms | 2, Outpatient - Moderate symptoms | 3, Outpatient - Severe symptoms | 4, Inpatient - Near Recovery | 5, Inpatient - Moderately ill | 6, Inpatient - Severely ill | 7, Critical (ICU) - Severely ill, not requiring ventilator support | 8, Critical (ICU) - Severely ill, intubated | OTH, Other | 99, Unknown",,,,,,"[covid_19_status_fu] = '2'",y,,,,,
current_status_clinical_specify_fu,followup,,notes,"<div class=""rich-text-field-label""><p><span style=""color: #000000;"">Please specify</span></p> <p><span style=""color: #000000; font-weight: normal;""><span style=""color: #e03e2d;"">Do not record </span></span><span style=""color: #e03e2d;"">any PHI<span style=""font-weight: normal;""> in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[current_status_clinical_fu] = 'OTH'",y,,,,,
worst_complications_severity_fu,followup,,radio,"<div class=""rich-text-field-label""><p><span style=""color: #000000;"">Worst severity of COVID-19 complications. </span></p> <p><span style=""font-weight: normal; color: #236fa1;"">This answer should capture the worst severity from the time of diagnosis to the time of this follow-up report.</span></p></div>","0, None (patient was asymptomatic) | 1, Mild complications (mimimal symptoms from complications) | 2, Moderate complications (moderate symptoms from complications) | 3, Serious complications (symptoms substantially impact the patient's functional status or disabling physical functioning) | OTH, Other | 99, Unknown",,,,,,"[covid_19_status_fu] = '1' or [covid_19_status_fu] = '1b' or [covid_19_status_fu] = '2'",y,,,,,
complications_severity_fu,followup,,checkbox,"<div class=""rich-text-field-label""><p><span style=""color: #000000;"">Severity of COVID-19 complications at the time of this follow-up report. <span style=""font-weight: normal; color: #236fa1;"">Check all that apply.</span></span></p></div>","0, No complications | 1, Mild complications (mimimal symptoms from complications) | 2, Moderate complications (moderate symptoms from complications) | 3, Serious complications (symptoms substantially impact the patient's functional status or disabling physical functioning) | OTH, Other | 99, Unknown",,,,,,"[covid_19_status_fu] = '1b' or [covid_19_status_fu] = '2'",y,,,,,
complications_severity_oth_specify_fu,followup,,notes,"<div class=""rich-text-field-label""><p><span style=""color: #000000;"">Please specify</span></p> <p><span style=""color: #000000; font-weight: normal;""><span style=""color: #e03e2d;"">Do not record </span></span><span style=""color: #e03e2d;"">any PHI<span style=""font-weight: normal;""> in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[complications_severity_fu(OTH)] = '1'",y,,,,,
cancer_tx_fu,followup,"COVID-19 Effect on Cancer Treatment",radio,"Was the patient's cancer treatment plan modified as a result of COVID-19?","0, No | 1, Yes | 99, Unknown",,,,,,"[covid_19_status_fu] != '3'",y,,,,,
cancer_tx_fu_more,followup,,notes,"<div class=""rich-text-field-label""><p>Please provide additional details.</p> <p><span style=""font-weight: normal;""><span style=""color: #e03e2d;"">Do not record </span></span><span style=""color: #e03e2d;"">any PHI<span style=""font-weight: normal;""> in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[cancer_tx_fu] = '1'",,,,,,
cancer_status_fu,followup,,radio,"<div class=""rich-text-field-label""><p>Cancer status at the time of this follow-up report. <span style=""font-weight: normal; color: #236fa1;"">If the patient has multiple primaries, please report on the cancer that was most recently treated.</span></p></div>","1, Remission/NED | 2, Active disease, responding to treatment | 3, Active disease, stable | 4, Active disease, progressing | 5, Active disease, status unknown or not yet assessed | 99, Unknown",,,,,,"[covid_19_status_fu] != '3'",y,,,,,
hospice_fu,followup,"<div class=""rich-text-field-label""><p>COVID-19 follow-up details -- optional</p> <p><span style=""font-weight: normal; color: #236fa1;"">The following sections contain questions that will help us more fully understand the disease course of COVID-19. Most but not all of these questions are optional.</span></p></div>",radio,"Since you last reported on this patient, were they transitioned to hospice?","0, No | 1, Yes | 99, Unknown",,,,,,"[hospice] != '1'",,,,,,
hospice_fu_more,followup,,notes,"<div class=""rich-text-field-label""><p>Please specify why the patient was transitioned to hospice.</p> <p><span style=""color: #e03e2d;""><span style=""font-weight: normal;"">Do not record </span>any PHI<span style=""font-weight: normal;""> in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[hospice_fu] = '1'",,,,,,
hosp_status_fu,followup,,radio,"Since you last reported on this patient, were they admitted or re-admitted to the hospital?","0, No | 1, Yes - admitted to floor for the duration of the illness | 2, Yes - admitted to floor and then transferred to the ICU | 3, Yes - admitted directly to the ICU | 88, Not applicable - they were admitted to the hospital at the time of the last report and remain hospitalized | 99, Unknown | OTH, Other",,,,,,,y,,,,,
hosp_status_fu_more,followup,,notes,"<div class=""rich-text-field-label""><p>Please provide further details.</p> <p><span style=""color: #e03e2d;""><span style=""font-weight: normal;"">Do not record </span>any PHI<span style=""font-weight: normal;""> in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[hosp_status_fu] = 'OTH'",,,,,,
admission_reason_fu,followup,,radio,"Was the admission related to COVID-19 or complications of COVID-19?","1, Definitely related | 2, Possibly related | 3, Unrelated | 99, Unknown",,,,,,"[hosp_status_fu] = '1' or [hosp_status_fu] = '2' or [hosp_status_fu] = '3'",y,,,,,
hosp_los_fu,followup,,text,"If known, how long was the length of stay, in days?",,,integer,1,,,"[hosp_status_fu] = '1'",,,,,,
hosp_los_fu_2,followup,,text,"If known, how long was the length of stay prior to transfer to the ICU, in days?",,,integer,1,,,"[hosp_status_fu] = '2'",,,,,,
icu_los_fu,followup,,text,"If known, how long was the ICU length of stay, in days?",,,integer,1,,,"[hosp_status_fu] = '2' or [hosp_status_fu] = '3'",,,,,,
current_status_fu,followup,,radio,"What is the patient's current location?","2, Outpatient - follow up | 4, ER - Follow up | 5, Hospitalized (non-ICU) - new admit | 6, Hospitalized (non-ICU)  - continued | 7, ICU - new admit | 8, ICU - continued | 9, None - patient is deceased | 99, Unknown",,,,,,"[covid_19_status_fu] != '3'",,,,,,
days_to_death_fu,followup,,text,"<div class=""rich-text-field-label""><p>Approximately how many days elapsed between COVID-19 diagnosis and death?</p> <p><span style=""font-weight: normal; color: #236fa1;"">If this information is unknown to you, please enter 9999 here.</span></p></div>",,,integer,0,,,"[current_status_fu] = '9' or [fu_reason] = '3'",y,,,,,
deceased_reason_fu,followup,,notes,"<div class=""rich-text-field-label""><p>Please provide additional details about the proximal cause of death.</p> <p><span style=""font-weight: normal;""><span style=""color: #e03e2d;"">Do not record </span></span><span style=""color: #e03e2d;"">any PHI <span style=""font-weight: normal;"">in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[current_status_fu] = '9'",y,,,,,
c19_complications_systemic_fu,followup,"<div class=""rich-text-field-label""><p>Additional Medical Events</p> <p><span style=""font-weight: normal;""><span style=""color: #236fa1;"">Please report any new complications or medical events that have arisen since completing the most recent form, whether or not they are clearly attributable to COVID-19 or another cause.</span></span></p></div>",checkbox,"<div class=""rich-text-field-label""><p>Systemic events during the follow-up period. <span style=""font-weight: normal; color: #236fa1;"">Check all that apply. If there were no additional systemic events, please check ""No additional events"".</span></p></div>","50960005, Bleeding | 67406007, Disseminated intravascular coagulation (DIC) | 57653000, Multiorgan failure | 91302008, Sepsis | 238147009, Other | NONE, No additional systemic events | UNK, Unknown",,,,,,,y,,,,,"Terminology: SNOMED"
c19_bleeding_fu,followup,,checkbox,"<div class=""rich-text-field-label""><p>Please specify the type of bleeding. <span style=""color: #236fa1; font-weight: normal;"">Check all that apply.</span></p></div>","112648003, Major bleeding (requiring multiple RBCs transfusions or ICU admit) | 73099002, Non-major but clinically relevant bleed | 127563002, Minor bleed (without transfusion need) | 230690007-Major, CNS hemorrhage, extensive | 230690007-Minor, CNS hemorrhage, limited | OTH, Other | UNK, Unknown",,,,,,"[c19_complications_systemic_fu(50960005)] = '1'",,,,,,"Terminology: SNOMED-modified"
c19_bleeding_oth_specify_fu,followup,,notes,"<div class=""rich-text-field-label""><p>Please specify further details about bleeding.</p> <p><span style=""color: #e03e2d;""><span style=""font-weight: normal;"">Do not record </span>any PHI<span style=""font-weight: normal;""> in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[c19_bleeding_fu(OTH)] = '1'",,,,,,
dic_more_fu,followup,,notes,"<div class=""rich-text-field-label""><p>Please provide further details about DIC, including clinical manifestations.</p> <p><span style=""font-weight: normal;""><span style=""color: #e03e2d;"">Do not record </span></span><span style=""color: #e03e2d;"">any PHI <span style=""font-weight: normal;"">in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[c19_complications_systemic_fu(67406007)] = '1'",,,,,,
c19_comp_systemic_specify_fu,followup,,notes,"<div class=""rich-text-field-label""><p>Please specify other systemic events.</p> <p><span style=""font-weight: normal;""><span style=""color: #e03e2d;"">Do not record </span></span><span style=""color: #e03e2d;"">any PHI <span style=""font-weight: normal;"">in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[c19_complications_systemic_fu(238147009)] = '1'",,,,,,
o2_requirement_fu,followup,,radio,"Did the patient require supplemental O2 during the follow-up period?","0, No | 1, Yes | 99, Unknown",,,,,,,y,,,,,
c19_complications_pulm_fu,followup,,checkbox,"<div class=""rich-text-field-label""><p>Pulmonary events during the follow-up period. <span style=""font-weight: normal; color: #236fa1;"">Check all that apply. If there were no additional pulmonary events, please check ""No additional events"".</span></p></div>","409622000, Respiratory failure | 205237003, Pneumonitis | 233604007, Pneumonia | 67782005, Acute respiratory distress syndrome (ARDS) | 59282003, Pulmonary embolism | 60046008, Pleural effusion | 312682007, Empyema | 50043002, Other | NONE, No additional pulmonary events | UNK, Unknown",,,,,,,y,,,,,"Terminology: SNOMED"
resp_failure_tx_fu,followup,,radio,"<div class=""rich-text-field-label""><p>Which of the following supplemental O2 interventions did the patient require?<span style=""font-weight: normal; color: #236fa1;""> Select the most invasive intervention required during the follow-up period.</span></p></div>","1, Nasal cannula or face mask with standard O2 | 2, High-flow nasal cannula or blow-by | 3, Non-rebreather | 4, CPAP | 5, BiPAP | 6, Intubation | 99, Unknown",,,,,,"[c19_complications_pulm_fu(409622000)] = '1' or [o2_requirement_fu] = '1'",,,,,,
berlin_yn_fu,followup,,radio,"<div class=""rich-text-field-label""><p>Were the Berlin criteria formally assessed?</p></div>","0, No | 1, Yes | 99, Unknown/Unsure",,,,,,"[c19_complications_pulm_fu(67782005)] = '1'",,,,,,
berlin_fu,followup,,radio,"<div class=""rich-text-field-label""><p>Berlin criteria.<br /><br /><span style=""font-weight: normal; color: #236fa1;"">The Berlin criteria are based on a decreased PaO2/FiO2 ratio:</span><br /><span style=""font-weight: normal; color: #236fa1;"">-mild ARDS: 201 - 300 mmHg (≤ 39.9 kPa)</span><br /><span style=""font-weight: normal; color: #236fa1;"">-moderate ARDS: 101 - 200 mmHg (≤ 26.6 kPa)</span><br /><span style=""font-weight: normal; color: #236fa1;"">-severe ARDS: ≤ 100 mmHg (≤ 13.3 kPa)</span><br /><br /><span style=""font-weight: normal; color: #236fa1;"">Note that the Berlin definition requires a minimum positive end expiratory pressure (PEEP) of 5 cmH2O for consideration of the PaO2/FiO2 ratio. This degree of PEEP may be delivered noninvasively with CPAP to diagnose mild ARDS.</span></p></div>","1, Mild | 2, Moderate | 3, Severe | 99, Unknown",,,,,,"[berlin_yn_fu] = '1'",,,,,,
c19_comp_pulm_specify_fu,followup,,notes,"<div class=""rich-text-field-label""><p>Please specify other pulmonary events.</p> <p><span style=""font-weight: normal;""><span style=""color: #e03e2d;"">Do not record </span></span><span style=""color: #e03e2d;"">any PHI <span style=""font-weight: normal;"">in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[c19_complications_pulm_fu(50043002)] = '1'",,,,,,
c19_complications_card_fu,followup,,checkbox,"<div class=""rich-text-field-label""><p>Cardiovascular events during the follow-up period. <span style=""font-weight: normal; color: #236fa1;"">Check all that apply. If there were no additional cardiovascular events, please check ""No additional events"".</span></p></div>","45007003, Hypotension | 22298006, Myocardial infarction | 414545008, Other cardiac ischemia | 49436004, Atrial fibrillation | 71908006, Ventricular fibrillation | 698247007, Other cardiac arrhythmia | 85898001, Cardiomyopathy | 42343007, Congestive heart failure (CHF) | 59282003, Pulmonary embolism (PE) | 128053003, Deep venous thrombosis (DVT) | 275517008, Superficial venous thrombosis (SVT) | 230690007, Cerebrovascular accident (CVA; stroke) | 414086009, Thrombosis, NOS | 49601007, Other | NONE, No additional cardiovascular events | UNK, Unknown",,,,,,,y,,,,,"Terminology: SNOMED"
hotn_pressors_fu,followup,,radio,"Did the patient require pressors?","0, No | 1, Yes | 99, Unknown",,,,,,"[c19_complications_card_fu(45007003)] = '1'",,,,,,
c19_comp_card_specify_fu,followup,,notes,"<div class=""rich-text-field-label""><p>Please specify other cardiac events.</p> <p><span style=""font-weight: normal;""><span style=""color: #e03e2d;"">Do not record </span></span><span style=""color: #e03e2d;"">any PHI<span style=""font-weight: normal;""> in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[c19_complications_card_fu(49601007)] = '1' or [c19_complications_card_fu(414545008)] = '1' or [c19_complications_card_fu(698247007)] = '1'",,,,,,
